Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.62,0.41,0.16,1.1585,0.4577,0.2707,0.327,10.7
F,0.678,0.412,0.21,1.222,0.537,0.2676,0.305,10.7
M,0.62,0.51,0.195,1.2693,0.7025,0.3708,0.45,12.8
F,0.588,0.377,0.138,0.808,0.331,0.1378,0.223,9.6
F,0.643,0.553,0.153,0.9531,0.4522,0.2461,0.381,9.6
F,0.61,0.57,0.164,1.4567,0.6736,0.3701,0.413,7.1
F,0.68,0.43,0.14,0.862,0.489,0.1972,0.271,8.9
F,0.602,0.557,0.15,0.7719,0.378,0.2086,0.21,7.4
I,0.454,0.4,0.152,0.5919,0.2305,0.1232,0.177,6.4
F,0.666,0.47,0.17,1.2,0.549,0.2594,0.257,8.6
F,0.564,0.37,0.16,1.02,0.387,0.2625,0.37,13.4
F,0.674,0.6,0.15,1.2165,0.4826,0.195,0.364,9.9
F,0.64,0.38,0.17,0.8534,0.37,0.1927,0.19,9.5
F,0.528,0.37,0.17,0.942,0.3759,0.221,0.233,8.7
F,0.685,0.568,0.21,1.153,0.5535,0.321,0.459,7.4
F,0.72,0.67,0.166,1.3564,0.7982,0.3265,0.4267,8.9
F,0.676,0.56,0.15,1.221,0.5613,0.2778,0.35,11.9
F,0.68,0.481,0.14,1.11,0.414,0.242,0.33,12.9
F,0.493,0.4,0.132,0.6274,0.324,0.1344,0.182,11.1
F,0.578,0.53,0.16,1.049,0.439,0.1921,0.32,10.0
F,0.524,0.49,0.18,0.9901,0.3861,0.2634,0.251,11.4
F,0.58,0.5,0.16,1.224,0.5033,0.2579,0.34,8.8
F,0.53,0.379,0.131,0.491,0.2365,0.109,0.168,9.8
F,0.564,0.422,0.137,0.9607,0.3844,0.1959,0.239,10.6
F,0.653,0.485,0.16,1.146,0.4455,0.313,0.43,20.5
F,0.558,0.4,0.163,0.609,0.2985,0.1717,0.18,6.2
F,0.576,0.38,0.13,0.8401,0.4271,0.1883,0.273,10.1
F,0.807,0.54,0.2,1.697,0.7261,0.2896,0.391,11.7
I,0.45,0.32,0.13,0.42,0.2109,0.0844,0.1,5.8
F,0.84,0.44,0.175,1.3129,0.5567,0.2559,0.37,10.2
F,0.47,0.36,0.11,0.5,0.2122,0.1487,0.192,18.6
F,0.51,0.5,0.14,1.0212,0.43,0.2021,0.286,8.7
F,0.513,0.5,0.15,0.98,0.42,0.2122,0.28,9.7
F,0.676,0.434,0.18,1.2072,0.4336,0.279,0.41,13.6
F,0.562,0.401,0.12,1.0082,0.5156,0.272,0.27,8.0
F,0.702,0.5,0.202,1.567,0.607,0.2055,0.365,13.9
F,0.66,0.44,0.14,1.122,0.6922,0.2817,0.3589,6.3
F,0.7,0.54,0.2,2.0333,0.914,0.3662,0.55,12.1
F,0.52,0.46,0.14,1.102,0.5036,0.223,0.243,5.8
F,0.37,0.32,0.12,0.5306,0.1774,0.1097,0.139,8.0
F,0.492,0.4,0.13,0.6756,0.2978,0.1363,0.227,9.1
F,0.72,0.47,0.19,1.4831,0.55,0.275,0.388,21.1
F,0.618,0.46,0.21,1.5764,0.5851,0.3098,0.34,11.9
F,0.547,0.51,0.16,1.162,0.435,0.2404,0.376,12.1
F,0.67,0.43,0.18,1.19,0.4998,0.2385,0.33,11.8
F,0.628,0.51,0.14,0.905,0.36,0.2417,0.34,14.4
F,0.57,0.48,0.19,1.4832,0.6964,0.3204,0.33,12.5
F,0.64,0.52,0.15,1.058,0.538,0.2469,0.319,7.9
F,0.518,0.39,0.126,0.546,0.1738,0.1149,0.158,8.2
F,0.509,0.52,0.16,1.092,0.4847,0.2409,0.275,8.5
F,0.65,0.5,0.207,1.2645,0.607,0.247,0.316,10.1
F,0.533,0.378,0.132,0.58,0.1849,0.1001,0.156,11.1
F,0.615,0.45,0.16,0.9144,0.4097,0.1527,0.252,9.7
F,0.76,0.58,0.2,2.186,0.546,0.432,0.58,11.0
F,0.479,0.45,0.14,0.837,0.391,0.2408,0.27,6.6
F,0.566,0.49,0.16,1.0018,0.426,0.247,0.306,9.1
F,0.668,0.479,0.201,1.164,0.534,0.309,0.341,13.4
F,0.689,0.48,0.181,1.4605,0.446,0.299,0.4,12.6
F,0.6,0.4,0.15,0.8878,0.3497,0.1629,0.237,7.0
F,0.852,0.54,0.135,1.058,0.4033,0.19,0.2284,7.8
F,0.62,0.39,0.13,1.0686,0.4419,0.2603,0.302,12.4
F,0.696,0.479,0.19,1.22,0.59,0.2279,0.359,8.7
F,0.608,0.404,0.16,0.8943,0.377,0.1429,0.22,7.8
F,0.612,0.48,0.14,1.06,0.348,0.2023,0.257,13.4
F,0.6,0.45,0.14,1.16,0.4274,0.266,0.247,8.0
F,0.61,0.49,0.139,0.945,0.3004,0.1507,0.19,9.5
F,0.558,0.46,0.14,0.814,0.5673,0.2002,0.295,8.5
F,0.56,0.44,0.15,0.83,0.34,0.232,0.224,11.6
F,0.49,0.362,0.151,0.531,0.2091,0.1172,0.17,11.6
F,0.61,0.56,0.15,1.04,0.3774,0.1721,0.3,6.6
F,0.708,0.41,0.14,0.865,0.3504,0.232,0.308,13.3
F,0.533,0.54,0.17,1.4614,0.624,0.353,0.36,9.3
F,0.668,0.52,0.19,1.2093,0.4642,0.2478,0.352,11.8
F,0.5,0.48,0.15,1.078,0.4667,0.2064,0.37,14.4
F,0.596,0.48,0.164,1.446,0.3688,0.3266,0.52,20.0
F,0.638,0.449,0.17,0.7809,0.4,0.156,0.22,8.0
F,0.6,0.46,0.17,0.947,0.5513,0.2618,0.236,8.9
F,0.5,0.45,0.14,1.23,0.4798,0.2297,0.317,9.0
F,0.64,0.598,0.2,1.68,0.5924,0.3737,0.49,13.2
F,0.667,0.6,0.193,1.257,0.565,0.2548,0.333,9.6
F,0.533,0.43,0.14,0.859,0.3882,0.249,0.28,7.2
F,0.587,0.4,0.16,0.896,0.4855,0.2653,0.284,18.7
F,0.57,0.46,0.108,0.9496,0.387,0.1838,0.27,10.2
F,0.6,0.58,0.16,1.45,0.6129,0.285,0.2813,10.7
F,0.77,0.45,0.16,1.0189,0.39,0.3015,0.3,8.4
I,0.378,0.3,0.102,0.2023,0.0763,0.054,0.09,6.8
I,0.28,0.333,0.09,0.2735,0.11,0.044,0.07,6.8
F,0.576,0.42,0.122,0.7123,0.3972,0.186,0.26,10.3
F,0.62,0.534,0.168,1.59,0.829,0.3588,0.402,10.0
F,0.624,0.51,0.17,0.8909,0.422,0.2086,0.24,7.2
F,0.474,0.4,0.136,0.6773,0.2011,0.144,0.201,10.7
F,0.43,0.34,0.12,0.5849,0.1922,0.061,0.1364,5.7
F,0.6,0.43,0.18,0.9152,0.4004,0.2715,0.32,10.1
F,0.733,0.49,0.15,1.73,0.7323,0.3766,0.4,8.4
F,0.506,0.43,0.19,0.997,0.3885,0.209,0.32,13.9
F,0.556,0.39,0.15,0.99,0.3844,0.221,0.289,10.3
F,0.595,0.49,0.159,1.2148,0.4681,0.2374,0.374,11.9
F,0.463,0.35,0.117,0.5166,0.2543,0.1034,0.186,10.0
F,0.68,0.466,0.15,0.996,0.4465,0.213,0.228,7.3
I,0.59,0.37,0.16,0.699,0.4231,0.181,0.26,6.8
F,0.59,0.563,0.173,1.9929,0.8589,0.3194,0.46,13.4
F,0.77,0.6,0.21,1.61,0.55,0.4168,0.416,9.3
F,0.58,0.28,0.09,0.4835,0.2108,0.1072,0.1,6.6
F,0.634,0.451,0.16,1.21,0.4102,0.197,0.31,8.8
F,0.6,0.62,0.153,1.7713,0.721,0.3237,0.428,12.9
F,0.547,0.4,0.17,1.1097,0.5501,0.2265,0.25,20.1
F,0.614,0.5,0.147,0.7792,0.3826,0.1625,0.32,8.9
F,0.562,0.48,0.168,1.063,0.5261,0.2709,0.267,10.6
F,0.726,0.507,0.1,2.213,0.64,0.249,0.4,9.4
F,0.62,0.46,0.16,1.036,0.3895,0.2675,0.266,11.2
F,0.522,0.48,0.16,0.916,0.4668,0.2481,0.29,10.8
F,0.512,0.4,0.11,0.503,0.2375,0.1157,0.15,10.0
I,0.22,0.258,0.096,0.18,0.0694,0.038,0.045,6.2
F,0.462,0.4,0.121,0.8564,0.253,0.1287,0.273,17.0
F,0.619,0.5,0.2,1.359,0.423,0.2602,0.46,18.7
F,0.503,0.38,0.151,1.0144,0.4,0.142,0.26,6.5
F,0.66,0.44,0.12,0.8105,0.441,0.182,0.257,7.6
F,0.536,0.46,0.212,1.1243,0.3894,0.2415,0.37,10.1
F,0.6,0.45,0.14,1.3899,0.519,0.2578,0.324,9.2
F,0.633,0.55,0.16,1.36,0.5656,0.3169,0.352,10.1
F,0.635,0.471,0.14,0.699,0.2413,0.1948,0.22,6.6
F,0.407,0.387,0.1,0.4194,0.1976,0.1529,0.15,12.3
F,0.7,0.44,0.14,1.47,0.531,0.231,0.2977,12.0
F,0.576,0.441,0.135,0.9472,0.376,0.2327,0.21,5.9
F,0.528,0.52,0.13,0.852,0.3674,0.222,0.2289,10.3
I,0.4,0.289,0.076,0.3503,0.183,0.0782,0.076,6.5
F,0.69,0.63,0.176,1.6236,0.6567,0.252,0.39,9.8
F,0.569,0.473,0.16,1.3068,0.51,0.214,0.33,10.9
M,0.53,0.45,0.144,0.7454,0.362,0.113,0.154,8.9
F,0.611,0.499,0.17,1.479,0.5996,0.2978,0.337,10.8
F,0.521,0.4,0.12,0.7416,0.4674,0.145,0.23,7.4
F,0.666,0.48,0.154,1.168,0.4461,0.3128,0.315,11.4
F,0.666,0.47,0.17,0.6902,0.4313,0.1582,0.25,10.8
F,0.55,0.54,0.14,1.5102,0.576,0.273,0.49,12.9
F,0.86,0.521,0.15,1.4679,0.594,0.3689,0.46,10.1
M,0.47,0.4,0.16,1.042,0.4331,0.17,0.258,8.9
F,0.596,0.38,0.16,1.0574,0.469,0.2244,0.243,8.9
M,0.49,0.4,0.132,0.496,0.2114,0.1062,0.198,14.4
F,0.643,0.431,0.165,1.02,0.566,0.203,0.39,10.9
F,0.567,0.388,0.17,0.979,0.4078,0.2242,0.26,10.0
F,0.612,0.51,0.18,1.2726,0.6079,0.2911,0.288,6.3
F,0.49,0.47,0.137,0.488,0.2723,0.1291,0.1657,5.6
F,0.41,0.35,0.14,0.5509,0.158,0.064,0.184,12.2
F,0.624,0.48,0.14,0.8131,0.341,0.1303,0.27,8.1
F,0.65,0.509,0.14,1.0943,0.62,0.3323,0.295,9.1
F,0.582,0.5,0.184,1.216,0.58,0.3072,0.465,14.4
F,0.62,0.48,0.141,1.03,0.3582,0.174,0.21,8.3
F,0.644,0.48,0.18,1.058,0.4663,0.2856,0.262,7.2
F,0.62,0.45,0.186,0.821,0.3863,0.211,0.2264,8.4
F,0.55,0.4,0.115,0.7534,0.2288,0.1465,0.206,6.7
F,0.582,0.46,0.193,1.2,0.4783,0.2893,0.347,8.4
I,0.43,0.38,0.1,0.454,0.2146,0.0712,0.0963,4.7
F,0.704,0.5,0.17,1.6628,0.7713,0.2785,0.433,8.6
F,0.642,0.45,0.16,1.075,0.5539,0.3087,0.395,12.4
F,0.554,0.46,0.19,1.02,0.336,0.1895,0.221,8.4
F,0.551,0.4,0.2,0.8744,0.3256,0.193,0.2574,6.3
F,0.739,0.54,0.19,1.481,0.549,0.2502,0.326,9.9
I,0.447,0.35,0.11,0.5321,0.2645,0.0929,0.136,6.9
F,0.79,0.626,0.2,2.25,0.8377,0.377,0.48,9.8
F,0.612,0.51,0.16,1.122,0.4334,0.22,0.356,9.9
I,0.34,0.26,0.073,0.167,0.0788,0.0326,0.054,5.7
M,0.59,0.438,0.159,0.8187,0.2348,0.1612,0.286,12.9
F,0.677,0.564,0.15,1.3156,0.4927,0.246,0.271,9.2
F,0.62,0.46,0.152,0.7822,0.4013,0.2603,0.27,8.1
F,0.763,0.54,0.2,1.599,0.6699,0.3294,0.5046,8.0
F,0.626,0.43,0.182,1.1078,0.4,0.2498,0.36,10.4
F,0.61,0.39,0.16,1.0617,0.4086,0.2169,0.364,8.2
F,0.606,0.48,0.14,0.9626,0.5124,0.207,0.26,10.1
F,0.65,0.46,0.165,1.1828,0.4179,0.241,0.321,11.4
M,0.311,0.24,0.067,0.17,0.043,0.047,0.035,3.3
F,0.581,0.458,0.16,1.112,0.508,0.2581,0.338,10.6
F,0.76,0.605,0.24,2.166,1.1817,0.371,0.512,9.9
F,0.583,0.49,0.17,1.078,0.64,0.2832,0.33,9.5
F,0.8,0.551,0.204,1.442,0.58,0.3242,0.401,11.3
F,0.589,0.518,0.155,1.3252,0.42,0.3014,0.34,8.4
F,0.5,0.37,0.17,1.1256,0.5082,0.2163,0.288,11.8
F,0.697,0.44,0.14,1.09,0.4002,0.231,0.318,13.4
F,0.707,0.508,0.15,1.318,0.684,0.3019,0.356,11.4
F,0.7,0.47,0.209,1.5887,0.8242,0.3755,0.52,11.2
M,0.675,0.52,0.17,1.379,0.442,0.201,0.36,14.3
I,0.46,0.4,0.14,0.443,0.1907,0.0904,0.13,7.8
F,0.578,0.55,0.174,1.0513,0.459,0.2587,0.307,12.9
F,0.57,0.43,0.13,1.052,0.49,0.19,0.22,7.4
F,0.583,0.53,0.14,1.161,0.433,0.2826,0.3,13.7
F,0.48,0.36,0.12,0.466,0.1869,0.0854,0.104,6.1
F,0.645,0.52,0.19,1.213,0.601,0.322,0.439,9.3
F,0.528,0.436,0.16,0.89,0.3481,0.231,0.358,9.0
F,0.537,0.43,0.15,0.77,0.338,0.1338,0.22,9.9
F,0.599,0.44,0.15,1.016,0.3266,0.208,0.259,9.0
F,0.543,0.442,0.14,0.922,0.334,0.1535,0.1976,10.1
F,0.574,0.5,0.187,1.4544,0.6417,0.2617,0.322,9.4
F,0.6,0.49,0.182,1.05,0.3919,0.2299,0.36,14.6
F,0.651,0.51,0.184,1.1832,0.588,0.2435,0.44,11.9
F,0.479,0.4,0.128,0.8799,0.4691,0.1251,0.202,4.5
F,0.6,0.5,0.137,0.98,0.4304,0.2471,0.336,10.5
F,0.64,0.42,0.216,1.4925,0.562,0.345,0.346,10.8
F,0.629,0.421,0.2,1.7143,0.8176,0.4284,0.481,10.1
M,0.49,0.48,0.14,1.067,0.3573,0.1688,0.312,7.8
F,0.53,0.4,0.144,0.952,0.419,0.158,0.243,8.2
M,0.55,0.43,0.15,0.9572,0.4309,0.2182,0.2167,10.3
F,0.6,0.43,0.18,1.01,0.383,0.2712,0.351,8.2
F,0.72,0.38,0.16,1.2021,0.66,0.278,0.246,8.1
F,0.559,0.416,0.144,0.6408,0.239,0.1276,0.151,6.6
F,0.546,0.47,0.13,0.974,0.3768,0.184,0.22,10.1
F,0.604,0.457,0.196,1.0333,0.4021,0.233,0.281,18.1
I,0.283,0.182,0.077,0.1421,0.0584,0.029,0.034,4.3
F,0.63,0.46,0.17,1.4387,0.5896,0.2456,0.44,11.3
F,0.61,0.51,0.16,1.0103,0.498,0.2297,0.26,9.8
F,0.645,0.42,0.144,1.3005,0.609,0.22,0.39,9.7
F,0.527,0.47,0.17,0.9864,0.4918,0.237,0.31,13.1
F,0.689,0.55,0.2,1.574,0.7158,0.3509,0.53,14.8
F,0.66,0.49,0.151,0.88,0.3895,0.2584,0.373,14.9
I,0.29,0.248,0.064,0.0981,0.049,0.0247,0.033,6.6
F,0.65,0.44,0.18,1.1009,0.64,0.2137,0.33,10.4
F,0.593,0.509,0.164,0.819,0.2685,0.2389,0.313,15.5
F,0.68,0.54,0.2,2.1319,1.04,0.3006,0.466,10.8
M,0.353,0.254,0.071,0.17,0.0838,0.0403,0.054,8.2
I,0.506,0.358,0.12,0.717,0.276,0.1382,0.142,6.7
M,0.581,0.44,0.14,0.96,0.4,0.156,0.26,7.8
F,0.63,0.5,0.2,1.619,0.5229,0.339,0.47,17.1
F,0.647,0.5,0.172,1.2795,0.4513,0.222,0.356,9.2
F,0.6,0.53,0.15,0.8932,0.39,0.1921,0.26,11.1
F,0.773,0.462,0.178,1.817,0.645,0.3139,0.479,9.6
F,0.58,0.331,0.142,0.691,0.2498,0.12,0.209,11.3
F,0.662,0.5,0.15,0.6774,0.416,0.1487,0.27,11.5
F,0.466,0.4,0.155,0.563,0.2965,0.1552,0.205,10.8
F,0.72,0.49,0.169,1.582,0.5008,0.4469,0.451,11.5
F,0.636,0.54,0.13,0.9546,0.5148,0.1965,0.29,9.5
F,0.798,0.51,0.17,1.4272,0.647,0.3114,0.47,11.6
F,0.473,0.5,0.139,0.6346,0.2643,0.1355,0.206,8.3
F,0.499,0.486,0.14,1.0334,0.289,0.137,0.344,12.0
F,0.597,0.5,0.158,1.3915,0.575,0.24,0.33,11.4
F,0.5,0.553,0.181,1.0259,0.4,0.245,0.25,8.7
F,0.573,0.418,0.174,1.3712,0.5216,0.3429,0.331,9.2
F,0.531,0.47,0.135,1.0878,0.3611,0.213,0.24,9.8
F,0.63,0.5,0.17,1.03,0.472,0.247,0.3,9.3
F,0.595,0.514,0.15,0.888,0.4289,0.2333,0.23,8.7
F,0.659,0.503,0.123,0.9015,0.3525,0.15,0.202,6.2
