metrics,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
performance.xgb_augmentation.aug_ood,0.8592114695340501,0.8592114695340501,0.8592114695340501,0.0,0.8592114695340501,0.0,1,0,0.0,maximize
performance.feat_rank_distance.corr,0.32412060301507534,0.32412060301507534,0.32412060301507534,0.0,0.32412060301507534,0.0,1,0,0.0,minimize
performance.feat_rank_distance.pvalue,9.36375097695282e-12,9.36375097695282e-12,9.36375097695282e-12,0.0,9.36375097695282e-12,0.0,1,0,0.0,minimize
detection.detection_xgb.mean,0.9991703955128458,0.9991703955128458,0.9991703955128458,0.0,0.9991703955128458,0.0,1,0,0.0,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,minimize
detection.detection_gmm.mean,0.4722267177356998,0.4722267177356998,0.4722267177356998,0.0,0.4722267177356998,0.0,1,0,0.0,minimize
detection.detection_linear.mean,0.9858367475385691,0.9858367475385691,0.9858367475385691,0.0,0.9858367475385691,0.0,1,0,0.0,minimize
privacy.delta-presence.score,2.28571428244898,2.28571428244898,2.28571428244898,0.0,2.28571428244898,0.0,1,0,0.0,maximize
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.0,maximize
privacy.k-map.score,7.0,7.0,7.0,0.0,7.0,0.0,1,0,0.0,maximize
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.0,maximize
privacy.identifiability_score.score,0.434,0.434,0.434,0.0,0.434,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,0.154,0.154,0.154,0.0,0.154,0.0,1,0,0.0,minimize
