metrics,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
performance.xgb_augmentation.gt,0.8723954343396443,0.8723954343396443,0.8723954343396443,0.0,0.8723954343396443,0.0,1,0,0.0,maximize
performance.xgb_augmentation.aug_ood,0.8645161290322582,0.8645161290322582,0.8645161290322582,0.0,0.8645161290322582,0.0,1,0,0.0,maximize
performance.feat_rank_distance.corr,0.1278391959798995,0.1278391959798995,0.1278391959798995,0.0,0.1278391959798995,0.0,1,0,0.01,minimize
performance.feat_rank_distance.pvalue,0.00718080825129703,0.00718080825129703,0.00718080825129703,0.0,0.00718080825129703,0.0,1,0,0.01,minimize
detection.detection_xgb.mean,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,minimize
detection.detection_gmm.mean,0.49912673638195576,0.49912673638195576,0.49912673638195576,0.0,0.49912673638195576,0.0,1,0,21.99,minimize
detection.detection_linear.mean,0.9912291227049099,0.9912291227049099,0.9912291227049099,0.0,0.9912291227049099,0.0,1,0,1.88,minimize
privacy.delta-presence.score,11.666666647222222,11.666666647222222,11.666666647222222,0.0,11.666666647222222,0.0,1,0,0.52,maximize
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.11,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.11,maximize
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.0,maximize
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.17,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.17,maximize
privacy.identifiability_score.score,0.262,0.262,0.262,0.0,0.262,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,0.041,0.041,0.041,0.0,0.041,0.0,1,0,0.0,minimize
