,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
2210,1.0,State-gov,144949.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,1.0,United-States,<=50K
32845,3.0,Private,171637.0,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
36853,2.0,Private,183611.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
28697,0.0,Private,168906.0,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,1.0,United-States,<=50K
3792,1.0,Private,149949.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
45971,1.0,Local-gov,236321.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
17825,4.0,Self-emp-inc,588484.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
6478,3.0,Private,176969.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
44388,1.0,Private,175943.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
15153,2.0,Private,125892.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
43348,2.0,Private,112497.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
6994,2.0,Private,80914.0,Assoc-voc,11.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
3150,0.0,Private,54314.0,Some-college,10.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,3.0,United-States,<=50K
33401,1.0,Private,663291.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
8784,1.0,Private,160724.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,2.0,India,>50K
35387,0.0,Private,122272.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,0.0,United-States,<=50K
4057,1.0,Private,172962.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
12051,2.0,Local-gov,342458.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
12865,2.0,Private,107909.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
46960,1.0,Private,132601.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
35248,0.0,Private,120131.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
4128,2.0,Private,157747.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
16399,3.0,Private,53833.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
6434,0.0,Private,173611.0,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,3.0,United-States,<=50K
8034,1.0,Private,59951.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,2.0,United-States,<=50K
7708,1.0,Private,176673.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,0.0,United-States,<=50K
18647,1.0,Private,134566.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
21216,3.0,Private,295067.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
30994,1.0,Private,172962.0,Bachelors,13.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
43754,1.0,Private,156493.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
43378,0.0,Private,123727.0,Bachelors,13.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
43133,3.0,Private,118972.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
9693,1.0,State-gov,287031.0,Assoc-acdm,12.0,Never-married,Tech-support,Not-in-family,Black,Female,0.0,0.0,2.0,United-States,<=50K
43069,4.0,Private,174993.0,HS-grad,9.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
5265,1.0,Private,154033.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
44873,3.0,Private,285066.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
4016,1.0,Private,263984.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,2.0,United-States,<=50K
43465,2.0,Private,208899.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
24576,2.0,Private,252413.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
27904,0.0,,377725.0,HS-grad,9.0,Never-married,,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
29186,0.0,Private,53367.0,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,1.0,United-States,<=50K
4831,1.0,Private,151810.0,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,Black,Male,0.0,0.0,2.0,United-States,<=50K
3467,0.0,,174461.0,HS-grad,9.0,Married-civ-spouse,,Wife,White,Female,0.0,0.0,2.0,United-States,<=50K
30371,1.0,Private,313830.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
8225,2.0,Private,121718.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
18397,3.0,Private,169092.0,HS-grad,9.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
43698,2.0,Private,154785.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
32185,3.0,Private,199058.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
20363,0.0,Private,137421.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
11601,1.0,Private,162442.0,Some-college,10.0,Never-married,Tech-support,Unmarried,Black,Female,0.0,0.0,2.0,United-States,<=50K
45062,3.0,Private,110243.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
47101,0.0,Private,216941.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
25882,1.0,Private,204052.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
44383,3.0,Private,176969.0,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
38250,2.0,Self-emp-not-inc,162678.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
20272,1.0,Private,130021.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
10810,2.0,Private,152457.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
25056,0.0,Private,86786.0,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
45518,2.0,Private,62278.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
5803,4.0,Private,124827.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,2.0,United-States,<=50K
3085,0.0,Private,261059.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
6056,0.0,Private,266467.0,Some-college,10.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,0.0,United-States,<=50K
16077,3.0,Private,168553.0,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
42296,3.0,Private,152958.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,4.0,2.0,United-States,>50K
38188,1.0,Private,170513.0,HS-grad,9.0,Separated,Sales,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
23692,4.0,Private,140558.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
20416,1.0,Private,113364.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
38656,4.0,Private,177054.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
47670,0.0,Private,122272.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
5568,2.0,Private,30269.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,2.0,United-States,>50K
1406,3.0,Federal-gov,165799.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
12736,0.0,Private,209801.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
21546,2.0,Federal-gov,83311.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
15039,0.0,Private,179422.0,10th,6.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,1.0,United-States,<=50K
30571,1.0,Private,111256.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
45771,1.0,Private,80564.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
20495,0.0,Private,174907.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
21628,1.0,Private,216924.0,HS-grad,9.0,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
29627,2.0,Private,76487.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
11778,1.0,Local-gov,178841.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
8171,3.0,Self-emp-not-inc,168539.0,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
16392,0.0,Private,361487.0,HS-grad,9.0,Never-married,Other-service,Other-relative,White,Male,0.0,0.0,2.0,United-States,<=50K
29108,1.0,Private,113364.0,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,1.0,United-States,<=50K
47176,3.0,Private,106850.0,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
13182,0.0,Private,44793.0,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,1.0,United-States,<=50K
20818,2.0,Private,253759.0,Some-college,10.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,2.0,United-States,<=50K
42906,2.0,Private,152629.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,2.0,United-States,>50K
30243,1.0,Private,182843.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,3.0,2.0,United-States,<=50K
46439,1.0,Private,55854.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
2059,2.0,Private,298225.0,7th-8th,4.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,2.0,Mexico,<=50K
5598,1.0,Private,302422.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
37304,2.0,Private,43712.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
15257,0.0,Private,117767.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
23974,1.0,Private,342400.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
30667,3.0,Private,165922.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
3396,2.0,Private,179352.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,1.0,United-States,<=50K
37869,2.0,Private,107737.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
47067,2.0,Federal-gov,143069.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
25725,0.0,Private,227943.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
3714,1.0,Private,102264.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
12313,0.0,Private,266400.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,0.0,United-States,<=50K
19376,0.0,,138799.0,Some-college,10.0,Never-married,,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
