,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation,Error
27,fnlwgt,education,ContingencySimilarity,0.2335637361287417,,,
28,fnlwgt,education-num,CorrelationSimilarity,0.9852945939374821,-0.038760683549709865,-0.06817149567474565,
29,fnlwgt,marital-status,ContingencySimilarity,0.2684926907170059,,,
30,fnlwgt,occupation,ContingencySimilarity,0.24380942631341873,,,
31,fnlwgt,relationship,ContingencySimilarity,0.26125342942549434,,,
32,fnlwgt,race,ContingencySimilarity,0.2532308259285041,,,
33,fnlwgt,sex,ContingencySimilarity,0.2750972523647681,,,
34,fnlwgt,capitalgain,CorrelationSimilarity,0.9719275218997461,-0.004680950653209323,-0.060825906853717096,
35,fnlwgt,capitalloss,CorrelationSimilarity,,,,ConstantInputError: The synthetic data in column 'capitalloss' contains a constant value. Correlation is undefined for constant data.
36,fnlwgt,hoursperweek,CorrelationSimilarity,0.9566977640230198,-0.008892804349795717,0.07771166760416481,
37,fnlwgt,native-country,ContingencySimilarity,0.2585336390811187,,,
38,fnlwgt,class,ContingencySimilarity,0.275097252364768,,,
39,education,education-num,ContingencySimilarity,0.5458826419884526,,,
40,education,marital-status,ContingencySimilarity,0.7507878465255313,,,
41,education,occupation,ContingencySimilarity,0.6129437778960731,,,
42,education,relationship,ContingencySimilarity,0.6736014086237254,,,
43,education,race,ContingencySimilarity,0.794858113918349,,,
44,education,sex,ContingencySimilarity,0.7916608656484174,,,
45,education,capitalgain,ContingencySimilarity,0.8051197739650301,,,
46,education,capitalloss,ContingencySimilarity,0.015130420539699374,,,
47,education,hoursperweek,ContingencySimilarity,0.7365451865197985,,,
48,education,native-country,ContingencySimilarity,0.794578027107817,,,
49,education,class,ContingencySimilarity,0.7628946398591376,,,
50,education-num,marital-status,ContingencySimilarity,0.6321735391671103,,,
51,education-num,occupation,ContingencySimilarity,0.516435035420335,,,
52,education-num,relationship,ContingencySimilarity,0.5599115515335162,,,
53,education-num,race,ContingencySimilarity,0.6610302608410794,,,
54,education-num,sex,ContingencySimilarity,0.6482813971581836,,,
55,education-num,capitalgain,CorrelationSimilarity,0.9311735736549169,0.16038869995194116,0.02273584726177496,
56,education-num,capitalloss,CorrelationSimilarity,,,,ConstantInputError: The synthetic data in column 'capitalloss' contains a constant value. Correlation is undefined for constant data.
57,education-num,hoursperweek,CorrelationSimilarity,0.9979429091323258,0.14678639603229146,0.14267221429694302,
58,education-num,native-country,ContingencySimilarity,0.6548536095982965,,,
59,education-num,class,ContingencySimilarity,0.6660513492485975,,,
60,marital-status,occupation,ContingencySimilarity,0.7178039392326276,,,
61,marital-status,relationship,ContingencySimilarity,0.8419872241103967,,,
62,marital-status,race,ContingencySimilarity,0.8280033577658572,,,
63,marital-status,sex,ContingencySimilarity,0.8379538102452807,,,
64,marital-status,capitalgain,ContingencySimilarity,0.8397846116047664,,,
65,marital-status,capitalloss,ContingencySimilarity,0.0159289136398999,,,
66,marital-status,hoursperweek,ContingencySimilarity,0.7737488227345317,,,
67,marital-status,native-country,ContingencySimilarity,0.8314258220384095,,,
68,marital-status,class,ContingencySimilarity,0.86955734818394,,,
69,occupation,relationship,ContingencySimilarity,0.6992629294459686,,,
70,occupation,race,ContingencySimilarity,0.755689775193481,,,
71,occupation,sex,ContingencySimilarity,0.7744138241677245,,,
72,occupation,capitalgain,ContingencySimilarity,0.7693456451414766,,,
73,occupation,capitalloss,ContingencySimilarity,0.015580852544940793,,,
74,occupation,hoursperweek,ContingencySimilarity,0.6915052618647886,,,
75,occupation,native-country,ContingencySimilarity,0.7631628516440768,,,
76,occupation,class,ContingencySimilarity,0.7690061832029811,,,
77,relationship,race,ContingencySimilarity,0.8372515458007452,,,
78,relationship,sex,ContingencySimilarity,0.8949035666025142,,,
79,relationship,capitalgain,ContingencySimilarity,0.8378461160476639,,,
80,relationship,capitalloss,ContingencySimilarity,0.01562180090905363,,,
81,relationship,hoursperweek,ContingencySimilarity,0.7849891486835101,,,
82,relationship,native-country,ContingencySimilarity,0.8449916055853569,,,
83,relationship,class,ContingencySimilarity,0.88517054993653,,,
84,race,sex,ContingencySimilarity,0.8883256213914255,,,
85,race,capitalgain,ContingencySimilarity,0.8417861676426027,,,
86,race,capitalloss,ContingencySimilarity,0.015458007452602174,,,
87,race,hoursperweek,ContingencySimilarity,0.8341251382007289,,,
88,race,native-country,ContingencySimilarity,0.8381126898980387,,,
89,race,class,ContingencySimilarity,0.895042791040498,,,
90,sex,capitalgain,ContingencySimilarity,0.8806220056508742,,,
91,sex,capitalloss,ContingencySimilarity,0.01594938782195654,,,
92,sex,hoursperweek,ContingencySimilarity,0.8660828794889645,,,
93,sex,native-country,ContingencySimilarity,0.8783170222349618,,,
94,sex,class,ContingencySimilarity,0.9384820441423365,,,
95,capitalgain,capitalloss,CorrelationSimilarity,,,,ConstantInputError: The synthetic data in column 'capitalloss' contains a constant value. Correlation is undefined for constant data.
96,capitalgain,hoursperweek,CorrelationSimilarity,0.9798608898512393,0.09917950884922568,0.058901288551704206,
97,capitalgain,native-country,ContingencySimilarity,0.8519565128373121,,,
98,capitalgain,class,ContingencySimilarity,0.9373866754023177,,,
99,capitalloss,hoursperweek,CorrelationSimilarity,,,,ConstantInputError: The synthetic data in column 'capitalloss' contains a constant value. Correlation is undefined for constant data.
100,capitalloss,native-country,ContingencySimilarity,0.014946152901191612,,,
101,capitalloss,class,ContingencySimilarity,0.01594938782195643,,,
102,hoursperweek,native-country,ContingencySimilarity,0.8459784611604766,,,
103,hoursperweek,class,ContingencySimilarity,0.8993665288071742,,,
104,native-country,class,ContingencySimilarity,0.9074243478973015,,,
