,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
performance.xgb_augmentation.aug_ood,0.8266666666666665,0.8266666666666665,0.8266666666666665,0.0,0.8266666666666665,0.0,1,0,0.0,maximize
performance.feat_rank_distance.corr,0.27557788944723616,0.27557788944723616,0.27557788944723616,0.0,0.27557788944723616,0.0,1,0,0.0,minimize
performance.feat_rank_distance.pvalue,6.82603092888357e-09,6.82603092888357e-09,6.82603092888357e-09,0.0,6.82603092888357e-09,0.0,1,0,0.0,minimize
detection.detection_xgb.mean,0.9997059781185224,0.9997059781185224,0.9997059781185224,0.0,0.9997059781185224,0.0,1,0,0.0,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,minimize
detection.detection_gmm.mean,0.4965744187301073,0.4965744187301073,0.4965744187301073,0.0,0.4965744187301073,0.0,1,0,0.0,minimize
detection.detection_linear.mean,0.970379777198572,0.970379777198572,0.970379777198572,0.0,0.970379777198572,0.0,1,0,0.0,minimize
privacy.delta-presence.score,3.9999999600000007,3.9999999600000007,3.9999999600000007,0.0,3.9999999600000007,0.0,1,0,0.0,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
privacy.k-anonymization.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.0,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
privacy.distinct l-diversity.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.0,maximize
privacy.identifiability_score.score,0.434,0.434,0.434,0.0,0.434,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
