Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
I,0.425,0.325,0.105,0.3415,0.1725,0.0945,0.1045,6.0
I,0.445,0.33,0.105,0.38,0.1575,0.068,0.09,6.0
F,0.605,0.47,0.17,1.114,0.487,0.2565,0.36,11.0
F,0.635,0.505,0.205,1.6205,0.7145,0.297,0.395,10.0
F,0.57,0.455,0.15,0.869,0.4265,0.187,0.245,8.0
F,0.46,0.375,0.115,0.4315,0.1785,0.0945,0.14,7.0
M,0.645,0.52,0.19,1.4455,0.5105,0.3415,0.415,12.0
F,0.48,0.38,0.125,0.5395,0.18,0.1255,0.175,11.0
F,0.56,0.435,0.155,0.869,0.4355,0.209,0.28,8.0
F,0.65,0.52,0.155,1.4405,0.594,0.2915,0.36,11.0
I,0.555,0.435,0.145,0.637,0.3105,0.0935,0.22,8.0
M,0.58,0.46,0.135,0.848,0.3385,0.185,0.26,8.0
I,0.415,0.31,0.105,0.2945,0.1445,0.061,0.085,8.0
M,0.575,0.46,0.15,0.8995,0.2845,0.16,0.27,13.0
M,0.545,0.435,0.15,0.8705,0.3885,0.1895,0.2395,9.0
F,0.585,0.455,0.135,0.9265,0.4275,0.166,0.26,9.0
F,0.595,0.45,0.14,1.0835,0.4605,0.2525,0.25,7.0
F,0.65,0.51,0.175,1.286,0.564,0.2955,0.445,16.0
I,0.345,0.255,0.09,0.1685,0.0745,0.0205,0.0635,6.0
F,0.605,0.48,0.18,1.098,0.445,0.296,0.34,11.0
F,0.505,0.405,0.12,0.6335,0.25,0.1245,0.21,9.0
I,0.21,0.15,0.05,0.04,0.0205,0.008,0.015,4.0
F,0.66,0.525,0.175,1.4405,0.54,0.22,0.45,13.0
I,0.4,0.3,0.09,0.3265,0.1245,0.0735,0.08,8.0
F,0.575,0.44,0.15,0.8275,0.3865,0.1715,0.2435,9.0
M,0.655,0.52,0.175,1.463,0.7185,0.3045,0.445,10.0
F,0.36,0.27,0.115,0.1895,0.0625,0.049,0.075,19.0
I,0.315,0.245,0.075,0.161,0.074,0.0355,0.045,8.0
F,0.44,0.33,0.115,0.447,0.1795,0.0935,0.097,10.0
F,0.625,0.49,0.175,1.4545,0.5885,0.318,0.415,12.0
I,0.415,0.325,0.11,0.406,0.187,0.0935,0.095,8.0
F,0.43,0.37,0.115,0.3885,0.1645,0.096,0.125,8.0
I,0.44,0.33,0.115,0.4055,0.18,0.099,0.11,7.0
F,0.71,0.55,0.2,2.0065,0.9175,0.5195,0.49,11.0
F,0.605,0.48,0.175,1.337,0.4275,0.2625,0.49,16.0
F,0.575,0.455,0.155,0.795,0.2945,0.1535,0.285,11.0
F,0.57,0.435,0.15,0.871,0.3125,0.1935,0.255,20.0
F,0.555,0.44,0.145,0.8835,0.345,0.196,0.244,10.0
M,0.505,0.405,0.15,0.8665,0.4605,0.1735,0.245,6.0
F,0.66,0.525,0.18,1.4095,0.6645,0.313,0.395,10.0
I,0.255,0.19,0.065,0.0985,0.0445,0.021,0.025,6.0
M,0.635,0.48,0.16,1.255,0.6,0.2645,0.3045,9.0
F,0.605,0.48,0.155,1.0805,0.4645,0.2365,0.34,10.0
F,0.625,0.455,0.16,1.2235,0.5765,0.2275,0.295,10.0
I,0.545,0.415,0.135,0.6965,0.3275,0.1495,0.19,9.0
F,0.595,0.46,0.14,0.8935,0.4285,0.19,0.228,9.0
F,0.58,0.43,0.145,0.922,0.4045,0.1685,0.2705,9.0
F,0.595,0.475,0.14,0.9065,0.3605,0.1945,0.27,11.0
M,0.655,0.515,0.175,1.2795,0.5305,0.2715,0.41,11.0
F,0.57,0.44,0.14,0.858,0.4275,0.1635,0.228,8.0
I,0.45,0.34,0.105,0.3965,0.173,0.0745,0.11,6.0
F,0.67,0.525,0.175,1.407,0.5615,0.296,0.415,15.0
M,0.575,0.46,0.14,0.9275,0.4305,0.1635,0.245,8.0
F,0.535,0.39,0.125,0.6925,0.2895,0.1325,0.185,14.0
I,0.56,0.405,0.125,0.8105,0.407,0.1605,0.2,10.0
F,0.36,0.265,0.075,0.2215,0.0905,0.039,0.058,5.0
F,0.6,0.475,0.18,1.09,0.358,0.2425,0.36,20.0
F,0.56,0.435,0.155,0.867,0.3485,0.174,0.245,14.0
F,0.515,0.385,0.115,0.624,0.2605,0.1625,0.17,6.0
F,0.665,0.525,0.185,1.463,0.632,0.2945,0.42,18.0
F,0.645,0.5,0.175,1.3035,0.5165,0.314,0.335,10.0
I,0.36,0.27,0.08,0.22,0.1005,0.064,0.06,8.0
F,0.53,0.395,0.14,0.6005,0.216,0.0945,0.23,15.0
F,0.52,0.395,0.15,0.8265,0.3285,0.156,0.265,14.0
F,0.605,0.5,0.18,1.2435,0.54,0.2885,0.365,14.0
I,0.455,0.345,0.115,0.3505,0.16,0.071,0.12,6.0
I,0.37,0.28,0.09,0.218,0.092,0.0735,0.0655,6.0
I,0.475,0.355,0.105,0.425,0.186,0.0925,0.115,7.0
I,0.59,0.46,0.15,0.9,0.4035,0.174,0.244,7.0
F,0.645,0.51,0.215,1.2565,0.5105,0.29,0.41,17.0
F,0.655,0.495,0.18,1.2695,0.5105,0.302,0.355,16.0
I,0.345,0.265,0.09,0.197,0.0755,0.039,0.07,9.0
I,0.485,0.38,0.125,0.5785,0.2585,0.1205,0.13,6.0
I,0.335,0.245,0.085,0.181,0.0655,0.0345,0.049,5.0
F,0.605,0.46,0.175,1.14,0.5265,0.223,0.3165,8.0
I,0.385,0.285,0.09,0.2295,0.0945,0.0525,0.07,5.0
F,0.515,0.4,0.125,0.6785,0.302,0.1245,0.1745,9.0
F,0.57,0.435,0.145,0.7745,0.377,0.15,0.239,8.0
F,0.615,0.48,0.175,1.1935,0.429,0.2555,0.355,15.0
I,0.63,0.49,0.175,1.2435,0.5295,0.2905,0.345,12.0
F,0.63,0.515,0.16,1.2235,0.5335,0.2915,0.335,9.0
F,0.575,0.455,0.155,0.9705,0.4605,0.2025,0.205,9.0
I,0.44,0.345,0.105,0.4075,0.1605,0.0905,0.115,7.0
F,0.705,0.565,0.155,1.8165,0.8295,0.387,0.531,8.0
F,0.625,0.48,0.155,1.094,0.5195,0.236,0.3205,10.0
M,0.39,0.3,0.1,0.2895,0.097,0.0585,0.09,16.0
F,0.59,0.455,0.15,0.879,0.3865,0.17,0.245,12.0
I,0.19,0.17,0.045,0.04,0.0355,0.012,0.01,6.0
F,0.58,0.455,0.165,1.0985,0.4915,0.2645,0.3,8.0
F,0.65,0.525,0.175,1.3825,0.6565,0.305,0.42,11.0
F,0.61,0.485,0.16,1.122,0.4605,0.2355,0.3,10.0
F,0.505,0.375,0.135,0.596,0.2945,0.1555,0.17,8.0
F,0.65,0.52,0.175,1.494,0.5755,0.2595,0.445,17.0
I,0.275,0.18,0.065,0.0955,0.0295,0.014,0.025,6.0
M,0.56,0.43,0.145,0.8265,0.3285,0.185,0.245,11.0
I,0.25,0.17,0.07,0.066,0.0445,0.012,0.0185,6.0
I,0.35,0.265,0.075,0.18,0.079,0.0335,0.05,6.0
I,0.39,0.285,0.095,0.2585,0.0705,0.0545,0.07,6.0
F,0.56,0.46,0.15,0.9175,0.4205,0.195,0.248,9.0
I,0.35,0.265,0.09,0.22,0.0925,0.0455,0.07,8.0
F,0.61,0.48,0.155,1.1245,0.435,0.2655,0.335,15.0
F,0.595,0.45,0.155,1.0335,0.414,0.2225,0.31,12.0
M,0.555,0.425,0.13,0.835,0.3485,0.16,0.21,8.0
F,0.57,0.46,0.16,0.922,0.3825,0.1655,0.275,10.0
F,0.625,0.515,0.175,1.38,0.7245,0.2955,0.335,8.0
F,0.575,0.455,0.15,0.9215,0.4605,0.2095,0.255,8.0
F,0.615,0.475,0.155,1.066,0.4625,0.2045,0.26,10.0
F,0.625,0.49,0.16,1.0815,0.475,0.2645,0.3045,9.0
F,0.53,0.395,0.145,0.8275,0.3135,0.1615,0.275,18.0
F,0.615,0.48,0.16,1.1345,0.5255,0.2555,0.355,9.0
F,0.505,0.38,0.13,0.6435,0.293,0.1515,0.23,9.0
F,0.53,0.395,0.14,0.702,0.2735,0.171,0.255,8.0
F,0.615,0.475,0.18,1.0475,0.4335,0.2555,0.335,9.0
F,0.585,0.455,0.135,0.9145,0.419,0.2055,0.23,8.0
I,0.195,0.145,0.025,0.028,0.011,0.0045,0.0075,4.0
F,0.655,0.51,0.18,1.3165,0.4655,0.2575,0.35,11.0
F,0.69,0.48,0.155,1.6385,0.6955,0.313,0.45,9.0
F,0.625,0.49,0.16,1.1645,0.5065,0.216,0.3,9.0
F,0.6,0.475,0.15,1.12,0.5455,0.2445,0.323,9.0
F,0.55,0.425,0.135,0.8795,0.407,0.2135,0.235,12.0
I,0.35,0.26,0.08,0.199,0.0865,0.0405,0.05,7.0
F,0.575,0.45,0.155,0.9335,0.4275,0.1815,0.235,9.0
I,0.58,0.46,0.155,0.8955,0.3275,0.1825,0.25,10.0
I,0.515,0.4,0.125,0.65,0.3285,0.1205,0.1405,6.0
F,0.505,0.405,0.14,0.6555,0.302,0.15,0.185,8.0
I,0.41,0.3,0.11,0.271,0.1255,0.0545,0.085,9.0
M,0.53,0.385,0.135,0.6335,0.3155,0.144,0.185,7.0
I,0.43,0.335,0.115,0.4085,0.1635,0.099,0.145,9.0
F,0.57,0.475,0.15,0.9355,0.4675,0.2185,0.28,9.0
F,0.58,0.455,0.145,1.1005,0.5275,0.1905,0.31,14.0
F,0.53,0.415,0.125,0.6605,0.2825,0.1235,0.17,7.0
I,0.36,0.27,0.075,0.18,0.073,0.0265,0.056,5.0
M,0.635,0.5,0.165,1.1635,0.55,0.2915,0.288,9.0
F,0.555,0.435,0.18,0.858,0.4355,0.1725,0.245,7.0
M,0.555,0.435,0.155,0.9805,0.419,0.1955,0.236,9.0
I,0.53,0.4,0.11,0.6355,0.259,0.0855,0.1455,7.0
F,0.555,0.425,0.16,0.8605,0.415,0.175,0.2065,7.0
M,0.605,0.49,0.16,0.966,0.4625,0.1715,0.295,8.0
F,0.66,0.525,0.175,1.463,0.6525,0.2895,0.43,11.0
I,0.44,0.325,0.105,0.3715,0.159,0.0915,0.1045,7.0
F,0.595,0.455,0.17,1.092,0.4445,0.2635,0.309,9.0
F,0.585,0.455,0.135,0.957,0.45,0.1605,0.235,11.0
I,0.46,0.35,0.115,0.4895,0.19,0.102,0.12,7.0
I,0.21,0.17,0.05,0.0315,0.0125,0.008,0.015,4.0
I,0.365,0.26,0.085,0.2235,0.0945,0.0245,0.053,5.0
F,0.57,0.44,0.125,0.8355,0.375,0.15,0.2345,7.0
I,0.355,0.27,0.09,0.2225,0.0945,0.038,0.058,6.0
M,0.58,0.45,0.155,1.0265,0.4655,0.25,0.295,12.0
F,0.72,0.56,0.2,1.842,0.931,0.48,0.4235,11.0
F,0.575,0.46,0.15,0.8705,0.3825,0.1755,0.2395,8.0
I,0.49,0.38,0.115,0.5945,0.261,0.1315,0.19,8.0
F,0.55,0.435,0.14,0.7635,0.3745,0.1715,0.235,8.0
M,0.45,0.34,0.1,0.4535,0.19,0.082,0.14,10.0
I,0.415,0.325,0.11,0.303,0.1285,0.0595,0.098,6.0
I,0.31,0.245,0.075,0.1585,0.036,0.037,0.05,7.0
M,0.575,0.45,0.15,1.0045,0.4655,0.2385,0.295,10.0
F,0.58,0.44,0.15,0.8645,0.4325,0.239,0.274,10.0
M,0.615,0.475,0.175,1.098,0.4995,0.216,0.298,9.0
I,0.46,0.35,0.11,0.4605,0.2065,0.0785,0.13,5.0
I,0.44,0.305,0.105,0.3435,0.1665,0.0695,0.085,6.0
M,0.58,0.45,0.145,0.8725,0.4625,0.1715,0.234,7.0
F,0.5,0.38,0.125,0.537,0.2065,0.141,0.185,10.0
F,0.625,0.49,0.15,1.0935,0.4995,0.24,0.355,10.0
I,0.375,0.28,0.08,0.2265,0.1135,0.0455,0.08,8.0
F,0.625,0.485,0.16,1.1345,0.5125,0.2595,0.335,8.0
M,0.57,0.44,0.135,0.869,0.4375,0.171,0.213,9.0
M,0.555,0.43,0.145,0.7665,0.3245,0.1455,0.235,12.0
F,0.475,0.365,0.11,0.452,0.1855,0.096,0.1315,8.0
F,0.375,0.29,0.105,0.2495,0.093,0.0575,0.07,9.0
F,0.625,0.515,0.165,1.1445,0.5115,0.2755,0.34,11.0
I,0.36,0.275,0.1,0.2235,0.0925,0.0515,0.07,8.0
F,0.63,0.49,0.18,1.3485,0.631,0.2965,0.4485,11.0
F,0.57,0.44,0.14,0.872,0.4205,0.221,0.245,10.0
F,0.605,0.48,0.16,1.1295,0.4625,0.301,0.315,12.0
I,0.465,0.35,0.125,0.486,0.215,0.0905,0.145,8.0
F,0.68,0.52,0.18,1.6195,0.615,0.367,0.49,11.0
F,0.515,0.4,0.145,0.6645,0.2795,0.1245,0.168,7.0
F,0.625,0.505,0.175,1.275,0.6355,0.2665,0.335,11.0
I,0.435,0.33,0.105,0.388,0.16,0.0765,0.09,6.0
F,0.555,0.425,0.15,0.7865,0.3125,0.1415,0.255,7.0
F,0.58,0.45,0.145,0.8265,0.3875,0.1805,0.235,7.0
I,0.28,0.21,0.075,0.1215,0.068,0.0265,0.03,6.0
F,0.475,0.38,0.135,0.6335,0.2595,0.1335,0.175,10.0
F,0.67,0.535,0.185,1.583,0.724,0.3535,0.43,11.0
F,0.56,0.435,0.15,0.967,0.4645,0.1655,0.295,8.0
M,0.5,0.38,0.11,0.6355,0.2565,0.12,0.169,8.0
I,0.53,0.4,0.13,0.7085,0.349,0.1435,0.1785,8.0
F,0.555,0.435,0.145,0.8435,0.3225,0.2245,0.235,12.0
F,0.58,0.46,0.16,0.7665,0.3155,0.1495,0.275,12.0
M,0.575,0.435,0.135,0.8275,0.3275,0.1955,0.2215,8.0
F,0.575,0.45,0.155,0.88,0.45,0.1905,0.23,9.0
M,0.46,0.35,0.115,0.467,0.191,0.0795,0.13,6.0
I,0.415,0.325,0.105,0.4565,0.215,0.0955,0.11,7.0
I,0.44,0.33,0.115,0.3935,0.185,0.074,0.115,7.0
F,0.58,0.455,0.175,1.0405,0.5265,0.2245,0.35,12.0
F,0.5,0.38,0.17,0.6285,0.2425,0.1445,0.175,12.0
F,0.56,0.44,0.145,0.8205,0.3645,0.1725,0.223,8.0
F,0.7,0.55,0.24,1.773,0.7455,0.3655,0.535,25.0
F,0.43,0.345,0.105,0.4405,0.1405,0.091,0.12,8.0
I,0.515,0.4,0.13,0.5955,0.2465,0.1335,0.185,7.0
F,0.585,0.455,0.165,1.0985,0.4605,0.2645,0.285,14.0
F,0.65,0.54,0.185,1.463,0.54,0.3595,0.4,9.0
M,0.555,0.45,0.14,0.837,0.4165,0.2175,0.2175,7.0
F,0.63,0.48,0.155,1.2435,0.5565,0.2635,0.295,12.0
F,0.465,0.37,0.115,0.4585,0.216,0.0935,0.125,6.0
F,0.575,0.435,0.15,0.879,0.4275,0.2095,0.239,8.0
I,0.44,0.35,0.09,0.3755,0.1785,0.067,0.12,12.0
M,0.6,0.475,0.175,1.12,0.4525,0.2205,0.32,9.0
M,0.555,0.435,0.145,0.9355,0.3825,0.196,0.27,10.0
F,0.365,0.27,0.075,0.1685,0.065,0.0335,0.06,6.0
F,0.475,0.37,0.115,0.541,0.2605,0.09,0.12,5.0
F,0.62,0.48,0.175,1.1935,0.5425,0.2715,0.32,10.0
M,0.605,0.49,0.15,1.1845,0.4495,0.2345,0.295,13.0
F,0.58,0.45,0.17,0.89,0.4525,0.207,0.235,7.0
F,0.64,0.49,0.165,1.2265,0.605,0.2725,0.3245,12.0
F,0.53,0.415,0.145,0.7205,0.2845,0.171,0.235,9.0
F,0.58,0.46,0.15,0.9335,0.4275,0.1635,0.245,9.0
M,0.64,0.49,0.135,1.0265,0.4125,0.257,0.28,11.0
M,0.515,0.4,0.125,0.658,0.2885,0.1335,0.19,7.0
F,0.575,0.49,0.15,0.8355,0.3865,0.196,0.255,11.0
F,0.57,0.44,0.155,0.9,0.419,0.2,0.239,9.0
F,0.56,0.435,0.16,0.8745,0.4025,0.1915,0.255,12.0
F,0.63,0.49,0.155,1.251,0.5725,0.262,0.355,12.0
M,0.625,0.49,0.16,1.2695,0.5725,0.2705,0.353,8.0
F,0.555,0.435,0.15,0.857,0.419,0.1455,0.239,9.0
I,0.475,0.37,0.135,0.4085,0.191,0.0885,0.145,6.0
F,0.66,0.515,0.17,1.6,0.7165,0.408,0.42,11.0
F,0.515,0.395,0.125,0.6335,0.2525,0.1455,0.175,8.0
I,0.505,0.4,0.125,0.6605,0.3155,0.14,0.17,7.0
I,0.43,0.33,0.11,0.38,0.174,0.0725,0.105,6.0
M,0.655,0.525,0.175,1.6685,0.6195,0.3525,0.405,11.0
I,0.23,0.17,0.05,0.0425,0.0165,0.0035,0.015,4.0
F,0.58,0.46,0.16,0.9,0.4055,0.1655,0.275,8.0
F,0.575,0.44,0.135,0.857,0.4525,0.179,0.235,8.0
I,0.44,0.35,0.11,0.38,0.164,0.095,0.1045,6.0
I,0.385,0.29,0.095,0.2485,0.12,0.051,0.085,6.0
I,0.545,0.44,0.125,0.6155,0.2575,0.1325,0.175,11.0
F,0.58,0.43,0.155,0.869,0.38,0.196,0.255,10.0
F,0.565,0.44,0.15,0.8735,0.4355,0.185,0.233,8.0
F,0.475,0.36,0.145,0.6335,0.3595,0.1625,0.14,8.0
F,0.645,0.505,0.16,1.2895,0.572,0.276,0.3,10.0
F,0.685,0.535,0.18,1.6335,0.7245,0.381,0.48,11.0
M,0.565,0.44,0.15,0.9175,0.4625,0.239,0.26,10.0
I,0.315,0.11,0.06,0.106,0.039,0.0265,0.031,5.0
F,0.595,0.455,0.15,0.9645,0.3245,0.268,0.335,10.0
I,0.43,0.35,0.105,0.47,0.2245,0.067,0.142,7.0
I,0.46,0.33,0.11,0.406,0.1685,0.0795,0.12,5.0
F,0.575,0.435,0.155,0.8145,0.295,0.17,0.32,12.0
F,0.56,0.44,0.145,0.7715,0.3295,0.1635,0.235,8.0
F,0.645,0.49,0.155,1.1075,0.4115,0.2595,0.3,10.0
M,0.58,0.44,0.15,1.0205,0.5415,0.2165,0.295,9.0
I,0.445,0.33,0.105,0.4055,0.1955,0.0735,0.1025,6.0
F,0.63,0.48,0.155,1.2895,0.5205,0.2925,0.285,9.0
F,0.515,0.405,0.145,0.8275,0.28,0.179,0.255,11.0
I,0.38,0.33,0.08,0.3025,0.129,0.0645,0.0905,6.0
